KEY,en,notes,sp,fr,de,it,pt-br
//weapons,,,,,,,
ITEM_22RIFLE_NAME,.22 Rifle,,.22 Гвинтiвка,Carabine .22,Kleinkaliber,Fucile .22,Rifle .22
ITEM_22RIFLE_DESC,Use: Fire a shot anywhere within your line of sight.,,Використати: Вистрiлiть куди завгодно в межах вашого поля зору.,Utilisation&nbsp;: tire sur n'importe quelle cible dans votre ligne de mire.,Benutzen: Schieße auf ein Ziel in deiner Sichtlinie.,Uso: Spari un colpo in qualsiasi punto entro il tuo campo visivo.,Uso: realize um disparo em qualquer lugar dentro do seu campo de visão.
ITEM_ALIENBLASTER_NAME,Alien Blaster,,Iнопланетний Бластер,Flingue extraterrestre,Alienblaster,Blaster Alieno,Blaster Alienígena
ITEM_ALIENBLASTER_DESC,Use: A laser attack. Gains +1 damage for the rest of the battle each time it's used.,,Використати: Лазерна атака. Кожного разу при використаннi отримуê +1 до шкоди на весь залишок бою.,Utilisation&nbsp;: une attaque laser. Dégâts +1&nbsp;à chaque utilisation durant ce combat.,"Benutzen: Ein Laserangriff. Erhält für den Rest des Kampfes jedes Mal +1&nbsp;Schaden, wenn er benutzt wird.",Uso: Un attacco laser. Ottieni +1 al Danno per il resto della battaglia ogni volta che viene utilizzato.,Uso: um ataque a laser. Obtém +1 de dano pelo resto da batalha a cada vez que for usada.
ITEM_ALIENTECH_NAME,Alien Tech,,Iнопланетнi Технологiï,Technologie extraterrestre,Alientechnologie,Tecnologia Aliena,Tecnologia Alienígena
ITEM_ALIENTECH_DESC,"Use: Target an area. Unleash a hyper beam attack in that area at the start of your next turn.
[s:.7](Usable once per battle.)[/s]",,"Використати: Оберiть область. Випустiть гiперпроменеву атаку в цiй областi на початку вашого наступного ходу.
[s:.7](Можна використати лише один раз за бiй.)[/s]","Utilisation&nbsp;: lance une énorme attaque laser sur la zone sélectionnée au début de votre prochain tour.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Wähle einen Zielbereich. Entfessle am Anfang deines nächsten Zuges einen Hyperstrahlangriff in diesem Bereich.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Seleziona un'area bersaglio. Scateni un attacco a iper-raggio in quell'area all'inizio del tuo prossimo turno.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: mire em uma área. Libere um ataque de hiper raio nessa área no início do seu próximo turno.
[s:.7](Um uso por batalha.)[/s]"
ITEM_AMERICANFLAG_NAME,American Flag,,Американський Прапор,Drapeau états-unien,Amerikaflagge,Bandiera Americana,Bandeira Americana
ITEM_AMERICANFLAG_DESC,"Use: Force a unit to attack one of its enemies.
[s:.7](Usable once per battle.)[/s]",,"Використати: Змусьте юнiта атакувати одного зi своïх ворогiв.
[s:.7](Можна використати лише один раз за бiй.)[/s]","Utilisation&nbsp;: contraint une unité à attaquer un de ses ennemis.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Zwinge eine Einheit, einen ihrer Gegner anzugreifen.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Costringi un'unità ad attaccare uno dei suoi nemici.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: force uma unidade a atacar um de seus inimigos.
[s:.7](Um uso por batalha.)[/s]"
ITEM_ANARCHISTCOOKBOOK_NAME,Anarchist Cookbook,,Книга Анархiста,B.a.-ba de l'anarchiste,Anarchist Cookbook,Ricettario Anarchico,Manual Anarquista
